"","pedigree","female","male","env","blue","gy_mid_parent","ph_mid_parent","dy_mid_parent"
"1","A01021/R01302","A01021","R01302","19CS",144.78,2929.7055,106.045,68
"2","A01021/R02107","A01021","R02107","19CS",152.4,2575.60995,109.22,68
"10","A01021/R05425","A01021","R05425","19CS",181.61,3221.31215,96.52,66
"13","A01021/R07178","A01021","R07178","19CS",147.32,3858.4266,100.965,65.75
"19","A01021/R11158","A01021","R11158","19CS",158.75,3652.08675,107.315,65.75
"22","A01021/R12145","A01021","R12145","19CS",133.35,3462.1836,107.315,68.75
"31","A01021/RTx2917","A01021","RTx2917","19CS",139.7,3815.6914,107.315,65.75
"35","A01021/RTx2935","A01021","RTx2935","19CS",144.78,3707.7953,104.14,66
"43","A01021/RTx2943","A01021","RTx2943","19CS",153.67,3467.55785,112.395,68.75
"49","A01046/R04104","A01046","R04104","19CS",128.27,3745.70695,102.235,71
"51","A01046/R05386","A01046","R05386","19CS",119.38,3505.5339,92.71,71
"55","A01046/R05512","A01046","R05512","19CS",130.81,2667.68845,94.615,72.5
"64","A01046/R11208","A01046","R11208","19CS",124.46,3080.8268,88.265,71.25
"69","A01046/R12156","A01046","R12156","19CS",125.73,3467.43485,105.41,74
"73","A01046/RTx2914","A01046","RTx2914","19CS",134.62,3023.1708,102.235,72.5
"79","A01046/RTx2935","A01046","RTx2935","19CS",134.62,3270.75845,97.79,71.25
"92","A01362/R04060","A01362","R04060","19CS",133.35,4341.2612,111.125,70.5
"94","A01362/R05330","A01362","R05330","19CS",148.59,3545.37815,111.76,71.75
"99","A01362/R05512","A01362","R05512","19CS",139.7,3262.08945,97.155,70.25
"101","A01362/R07178","A01362","R07178","19CS",127,4015.79075,97.155,68.75
"105","A01362/R08304","A01362","R08304","19CS",139.7,4222.25235,106.68,68.75
"110","A01362/R12145","A01362","R12145","19CS",135.89,3619.54775,103.505,71.75
"115","A01362/RTx2912","A01362","RTx2912","19CS",129.54,2520.2426,97.155,71.75
"117","A01362/RTx2914","A01362","RTx2914","19CS",137.16,3617.5718,104.775,70.25
"121","A01362/RTx2919","A01362","RTx2919","19CS",128.27,3685.4791,98.425,68.75
"125","A01362/RTx2937","A01362","RTx2937","19CS",127,3966.43065,102.235,69
"131","A01362/RTx2943","A01362","RTx2943","19CS",149.86,3624.922,108.585,71.75
"136","A03017/R04060","A03017","R04060","19CS",138.43,4422.8579,116.205,69.75
"137","A03017/R04104","A03017","R04104","19CS",130.81,4421.70465,109.855,68
"164","A03017/RTx2918","A03017","RTx2918","19CS",130.81,4186.23565,108.585,68.25
"166","A03017/RTx2920","A03017","RTx2920","19CS",129.54,3836.549,99.06,68
"180","A03032/R04060","A03032","R04060","19CS",120.65,4105.79865,105.41,70.5
"191","A03032/R08297","A03032","R08297","19CS",111.76,3836.9283,94.615,68.75
"204","A03032/RTx2913","A03032","RTx2913","19CS",138.43,3552.16715,106.045,71.75
"208","A03032/RTx2918","A03032","RTx2918","19CS",114.3,3869.1764,97.79,69
"218","A03032/RTx2942","A03032","RTx2942","19CS",127,3907.99175,100.965,68.25
"219","A03032/RTx2943","A03032","RTx2943","19CS",125.73,3389.45945,102.87,71.75
"223","A03040/R03248","A03040","R03248","19CS",144.78,3443.44025,93.98,69
"225","A03040/R04104","A03040","R04104","19CS",140.97,3793.63945,103.505,68.5
"228","A03040/R05393","A03040","R05393","19CS",144.78,2168.45565,97.155,71.5
"233","A03040/R07178","A03040","R07178","19CS",149.86,3469.32225,95.885,68.5
"238","A03040/R08306","A03040","R08306","19CS",142.24,3620.2025,99.06,68.5
"241","A03040/R12071","A03040","R12071","19CS",135.89,3347.37895,99.06,70
"244","A03040/R12154","A03040","R12154","19CS",146.05,3128.9451,99.06,70.5
"248","A03040/RTx2913","A03040","RTx2913","19CS",158.75,3241.1612,110.49,71.5
"251","A03040/RTx2917","A03040","RTx2917","19CS",146.05,3426.58705,102.235,68.5
"260","A03040/RTx2940","A03040","RTx2940","19CS",123.19,3488.5896,97.79,68.75
"262","A03040/RTx2942","A03040","RTx2942","19CS",142.24,3596.9858,105.41,68
"265","A03043/R01302","A03043","R01302","19CS",137.16,2538.8042,100.965,72.5
"269","A03043/R04104","A03043","R04104","19CS",132.08,3791.8425,103.505,70.25
"270","A03043/R05330","A03043","R05330","19CS",135.89,2997.1127,110.49,73.25
"271","A03043/R05386","A03043","R05386","19CS",127,3551.66945,93.98,70.25
"274","A03043/R05425","A03043","R05425","19CS",130.81,2830.41085,91.44,70.5
"279","A03043/R08297","A03043","R08297","19CS",137.16,3524.1254,99.06,70.25
"281","A03043/R08304","A03043","R08304","19CS",123.19,3673.9869,105.41,70.25
"287","A03043/R12148","A03043","R12148","19CS",130.81,3318.56595,102.235,72.5
"292","A03043/RTx2913","A03043","RTx2913","19CS",135.89,3239.36425,110.49,73.25
"298","A03043/RTx2920","A03043","RTx2920","19CS",123.19,3206.68685,92.71,70.25
"304","A03043/RTx2940","A03043","RTx2940","19CS",125.73,3486.79265,97.79,70.5
"309","A03054/R01302","A03054","R01302","19CS",121.92,2485.5978,92.075,70.5
"317","A03054/R05405","A03054","R05405","19CS",135.89,3150.6793,82.55,68.25
"320","A03054/R07161","A03054","R07161","19CS",138.43,3148.0857,104.14,69
"333","A03054/R12156","A03054","R12156","19CS",118.11,3460.364,97.79,71.25
"340","A03054/RTx2918","A03054","RTx2918","19CS",120.65,3503.1671,93.345,68.5
"344","A03054/RTx2936","A03054","RTx2936","19CS",130.81,2926.13695,88.9,70
"348","A03054/RTx2940","A03054","RTx2940","19CS",118.11,3433.58625,88.9,68.5
"349","A03054/RTx2941","A03054","RTx2941","19CS",132.08,2644.5385,91.44,71.25
"357","A03055/R04104","A03055","R04104","19CS",124.46,3679.67725,100.33,68.25
"358","A03055/R05330","A03055","R05330","19CS",162.56,2884.94745,107.315,71.25
"364","A03055/R07161","A03055","R07161","19CS",148.59,3089.12685,109.855,69
"367","A03055/R08297","A03055","R08297","19CS",137.16,3411.96015,95.885,68.25
"375","A03055/R12148","A03055","R12148","19CS",129.54,3206.4007,99.06,70.5
"384","A03055/RTx2918","A03055","RTx2918","19CS",148.59,3444.20825,99.06,68.5
"388","A03055/RTx2936","A03055","RTx2936","19CS",143.51,2867.1781,94.615,70
"394","A03055/RTx2942","A03055","RTx2942","19CS",134.62,3483.0236,102.235,67.75
"395","A03055/RTx2943","A03055","RTx2943","19CS",144.78,2964.4913,104.14,71.25
"396","A03055/RTx2944","A03055","RTx2944","19CS",143.51,2666.7624,95.885,68.25
"401","A03089/R04104","A03089","R04104","19CS",128.27,2856.44795,97.155,71
"404","A03089/R05393","A03089","R05393","19CS",148.59,1231.26415,90.805,74
"410","A03089/R08224","A03089","R08224","19CS",179.07,1436.42765,102.235,73.25
"422","A03089/R12157","A03089","R12157","19CS",138.43,2742.26235,100.965,72.5
"425","A03089/RTx2914","A03089","RTx2914","19CS",148.59,2133.9118,97.155,72.5
"427","A03089/RTx2917","A03089","RTx2917","19CS",130.81,2489.39555,95.885,71
"442","A03093/R02107","A03093","R02107","19CS",129.54,2691.6882,107.315,70.25
"447","A03093/R05386","A03093","R05386","19CS",130.81,4058.649,97.155,68
"449","A03093/R05405","A03093","R05405","19CS",153.67,3710.86525,94.615,68
"453","A03093/R07178","A03093","R07178","19CS",133.35,3974.50485,99.06,68
"455","A03093/R08297","A03093","R08297","19CS",129.54,4031.10495,102.235,68
"463","A03093/R12148","A03093","R12148","19CS",143.51,3825.5455,105.41,70.25
"468","A03093/RTx2913","A03093","RTx2913","19CS",148.59,3746.3438,113.665,71
"471","A03093/RTx2917","A03093","RTx2917","19CS",125.73,3931.76965,105.41,68
"474","A03093/RTx2920","A03093","RTx2920","19CS",130.81,3713.6664,95.885,68
"480","A03093/RTx2940","A03093","RTx2940","19CS",123.19,3993.7722,100.965,68.25
"484","A03093/RTx2944","A03093","RTx2944","19CS",133.35,3285.9072,102.235,68
"486","A03121/R02107","A03121","R02107","19CS",142.24,2463.38875,102.87,72.5
"490","A03121/R05330","A03121","R05330","19CS",144.78,3275.7928,109.22,73.25
"494","A03121/R05425","A03121","R05425","19CS",142.24,3109.09095,90.17,70.5
"497","A03121/R07178","A03121","R07178","19CS",138.43,3746.2054,94.615,70.25
"498","A03121/R08224","A03121","R08224","19CS",170.18,2650.5023,107.315,72.5
"500","A03121/R08303","A03121","R08303","19CS",115.57,3641.5074,90.17,70.25
"510","A03121/R12157","A03121","R12157","19CS",128.27,3956.337,106.045,71.75
"512","A03121/RTx2913","A03121","RTx2913","19CS",138.43,3518.04435,109.22,73.25
"517","A03121/RTx2919","A03121","RTx2919","19CS",130.81,3415.89375,95.885,70.25
"519","A03121/RTx2935","A03121","RTx2935","19CS",123.19,3595.5741,97.79,70.5
"528","A03121/RTx2944","A03121","RTx2944","19CS",127,3057.60775,97.79,70.25
"530","A05071/R02107","A05071","R02107","19CS",138.43,2427.47835,105.41,70.5
"532","A05071/R04060","A05071","R04060","19CS",144.78,4035.76545,111.125,70
"534","A05071/R05330","A05071","R05330","19CS",124.46,3239.8824,111.76,71.25
"537","A05071/R05405","A05071","R05405","19CS",162.56,3446.6554,92.71,68.25
"538","A05071/R05425","A05071","R05425","19CS",167.64,3073.18055,92.71,68.5
"543","A05071/R08297","A05071","R08297","19CS",134.62,3766.8951,100.33,68.25
"547","A05071/R11158","A05071","R11158","19CS",151.13,3503.95515,103.505,68.25
"552","A05071/R12154","A05071","R12154","19CS",147.32,3369.91785,100.33,70.25
"558","A05071/RTx2916","A05071","RTx2916","19CS",144.78,2969.22195,100.33,71.25
"560","A05071/RTx2918","A05071","RTx2918","19CS",137.16,3799.1432,103.505,68.5
"564","A05071/RTx2936","A05071","RTx2936","19CS",154.94,3222.11305,99.06,70
"570","A05071/RTx2942","A05071","RTx2942","19CS",142.24,3837.95855,106.68,67.75
"575","A05210/R03248","A05210","R03248","19CS",151.13,3726.3973,103.505,69
"578","A05210/R05330","A05210","R05330","19CS",163.83,3281.8667,120.015,71.5
"581","A05210/R05405","A05210","R05405","19CS",177.8,3488.6397,100.965,68.5
"583","A05210/R05512","A05210","R05512","19CS",160.02,2998.578,105.41,70
"586","A05210/R08224","A05210","R08224","19CS",187.96,2656.5762,118.11,70.75
"594","A05210/R12145","A05210","R12145","19CS",149.86,3356.0363,111.76,71.5
"596","A05210/R12154","A05210","R12154","19CS",172.72,3411.90215,108.585,70.5
"598","A05210/R12157","A05210","R12157","19CS",151.13,3962.4109,116.84,70
"609","A05210/RTx2937","A05210","RTx2937","19CS",138.43,3702.9192,110.49,68.75
"610","A05210/RTx2938","A05210","RTx2938","19CS",148.59,2218.05265,100.33,72.25
"615","A05210/RTx2943","A05210","RTx2943","19CS",167.64,3361.41055,116.84,71.5
"617","A05269/R01302","A05269","R01302","19CS",143.51,3259.5507,107.315,71
"622","A05269/R05330","A05269","R05330","19CS",163.83,3717.8592,116.84,71.75
"628","A05269/R07161","A05269","R07161","19CS",162.56,3922.0386,119.38,69.5
"632","A05269/R08303","A05269","R08303","19CS",142.24,4083.5738,97.79,68.75
"634","A05269/R08306","A05269","R08306","19CS",144.78,4339.15205,105.41,68.75
"636","A05269/R11208","A05269","R11208","19CS",123.19,3847.70885,95.885,69
"641","A05269/R12156","A05269","R12156","19CS",133.35,4234.3169,113.03,71.75
"649","A05269/RTx2919","A05269","RTx2919","19CS",140.97,3857.96015,103.505,68.75
"652","A05269/RTx2936","A05269","RTx2936","19CS",152.4,3700.08985,104.14,70.5
"659","A05269/RTx2943","A05269","RTx2943","19CS",151.13,3797.40305,113.665,71.75
"660","A05269/RTx2944","A05269","RTx2944","19CS",139.7,3499.67415,105.41,68.75
"663","A06035/R03248","A06035","R03248","19CS",130.81,3688.97485,88.9,68.5
"666","A06035/R05330","A06035","R05330","19CS",142.24,3244.44425,105.41,71
"684","A06035/R12154","A06035","R12154","19CS",140.97,3374.4797,93.98,70
"688","A06035/RTx2913","A06035","RTx2913","19CS",135.89,3486.6958,105.41,71
"691","A06035/RTx2917","A06035","RTx2917","19CS",129.54,3672.12165,97.155,68
"694","A06035/RTx2920","A06035","RTx2920","19CS",123.19,3454.0184,87.63,68
"696","A06035/RTx2936","A06035","RTx2936","19CS",146.05,3226.6749,92.71,69.75
"703","A06035/RTx2943","A06035","RTx2943","19CS",139.7,3323.9881,102.235,71
"709","A06036/R04104","A06036","R04104","19CS",121.92,3393.9741,100.33,69.25
"722","A06036/R08306","A06036","R08306","19CS",133.35,3220.53715,95.885,69.25
"723","A06036/R11158","A06036","R11158","19CS",129.54,2863.31705,99.06,69.25
"729","A06036/R12156","A06036","R12156","19CS",124.46,3115.702,103.505,72.25
"737","A06036/RTx2919","A06036","RTx2919","19CS",132.08,2739.34525,93.98,69.25
"744","A06036/RTx2940","A06036","RTx2940","19CS",133.35,3088.92425,94.615,69.5
"760","A07118/R07161","A07118","R07161","19CS",128.27,3707.63225,111.125,68.75
"762","A07118/R08224","A07118","R08224","19CS",144.78,2878.16235,106.68,70.25
"765","A07118/R08304","A07118","R08304","19CS",146.05,4180.32705,103.505,68
"770","A07118/R12145","A07118","R12145","19CS",120.65,3577.62245,100.33,71
"771","A07118/R12148","A07118","R12148","19CS",144.78,3824.9061,100.33,70.25
"774","A07118/R12157","A07118","R12157","19CS",123.19,4183.99705,105.41,69.5
"781","A07118/RTx2919","A07118","RTx2919","19CS",132.08,3643.5538,95.25,68
"792","A07118/RTx2944","A07118","RTx2944","19CS",140.97,3285.2678,97.155,68
"793","A07124/R01302","A07124","R01302","19CS",151.13,2954.852,99.06,70.25
"796","A07124/R04060","A07124","R04060","19CS",138.43,4209.04355,107.95,69.75
"798","A07124/R05330","A07124","R05330","19CS",152.4,3413.1605,108.585,71
"802","A07124/R05425","A07124","R05425","19CS",171.45,3246.45865,89.535,68.25
"805","A07124/R07178","A07124","R07178","19CS",132.08,3883.5731,93.98,68
"811","A07124/R11158","A07124","R11158","19CS",158.75,3677.23325,100.33,68
"812","A07124/R11208","A07124","R11208","19CS",128.27,3543.01015,87.63,68.25
"823","A07124/RTx2917","A07124","RTx2917","19CS",130.81,3840.8379,100.33,68
"825","A07124/RTx2919","A07124","RTx2919","19CS",139.7,3553.26145,95.25,68
"827","A07124/RTx2935","A07124","RTx2935","19CS",142.24,3732.9418,97.155,68.25
"835","A07124/RTx2943","A07124","RTx2943","19CS",154.94,3492.70435,105.41,71
"839","A08068/R03248","A08068","R03248","19CS",134.62,3740.2071,90.805,70.75
"848","A08068/R07161","A08068","R07161","19CS",153.67,3499.8559,109.855,71
"855","A08068/R11158","A08068","R11158","19CS",146.05,3559.74925,99.06,70.25
"861","A08068/R12156","A08068","R12156","19CS",125.73,3812.1342,103.505,73.25
"869","A08068/RTx2919","A08068","RTx2919","19CS",133.35,3435.77745,93.98,70.25
"877","A08068/RTx2941","A08068","RTx2941","19CS",137.16,2996.3087,97.155,73.25
"882","A08134/R02107","A08134","R02107","19CS",140.97,2253.2277,106.045,70.25
"884","A08134/R04060","A08134","R04060","19CS",137.16,3861.5148,111.76,69.75
"889","A08134/R05405","A08134","R05405","19CS",182.88,3272.40475,93.345,68
"893","A08134/R07178","A08134","R07178","19CS",132.08,3536.04435,97.79,68
"895","A08134/R08297","A08134","R08297","19CS",137.16,3592.64445,100.965,68
"899","A08134/R11158","A08134","R11158","19CS",156.21,3329.7045,104.14,68
"903","A08134/R12148","A08134","R12148","19CS",153.67,3387.085,104.14,70.25
"912","A08134/RTx2918","A08134","RTx2918","19CS",147.32,3624.89255,104.14,68.25
"916","A08134/RTx2936","A08134","RTx2936","19CS",163.83,3047.8624,99.695,69.75
"920","A08134/RTx2940","A08134","RTx2940","19CS",143.51,3555.3117,99.695,68.25
"923","A08134/RTx2943","A08134","RTx2943","19CS",167.64,3145.1756,109.22,71
"928","A08140/R04060","A08140","R04060","19CS",148.59,3847.78185,103.505,70.25
"929","A08140/R04104","A08140","R04104","19CS",130.81,3846.6286,97.155,68.5
"931","A08140/R05386","A08140","R05386","19CS",138.43,3606.45555,87.63,68.5
"937","A08140/R07178","A08140","R07178","19CS",139.7,3522.3114,89.535,68.5
"940","A08140/R08303","A08140","R08303","19CS",129.54,3417.6134,85.09,68.5
"947","A08140/R12148","A08140","R12148","19CS",151.13,3373.35205,95.885,70.75
"949","A08140/R12156","A08140","R12156","19CS",134.62,3568.3565,100.33,71.5
"966","A08140/RTx2942","A08140","RTx2942","19CS",142.24,3649.97495,99.06,68
"969","A08158/R01302","A08158","R01302","19CS",146.05,3008.6253,110.49,71
"971","A08158/R03248","A08158","R03248","19CS",146.05,3911.4644,103.505,69.25
"974","A08158/R05330","A08158","R05330","19CS",157.48,3466.9338,120.015,71.75
"981","A08158/R07178","A08158","R07178","19CS",149.86,3937.3464,105.41,68.75
"982","A08158/R08224","A08158","R08224","19CS",171.45,2841.6433,118.11,71
"989","A08158/R12071","A08158","R12071","19CS",142.24,3815.4031,108.585,70.25
"990","A08158/R12145","A08158","R12145","19CS",133.35,3541.1034,111.76,71.75
"992","A08158/R12154","A08158","R12154","19CS",151.13,3596.96925,108.585,70.75
"995","A08158/RTx2912","A08158","RTx2912","19CS",147.32,2441.79825,105.41,71.75
"997","A08158/RTx2914","A08158","RTx2914","19CS",146.05,3539.12745,113.03,70.25
"999","A08158/RTx2917","A08158","RTx2917","19CS",138.43,3894.6112,111.76,68.75
"1007","A08158/RTx2939","A08158","RTx2939","19CS",168.91,2751.29575,121.74345,72.8628
"1016","A11076/R04060","A11076","R04060","19CS",133.35,4291.62815,108.585,69.25
"1025","A11076/R07178","A11076","R07178","19CS",138.43,3966.1577,94.615,67.5
"1027","A11076/R08297","A11076","R08297","19CS",128.27,4022.7578,97.79,67.5
"1035","A11076/R12148","A11076","R12148","19CS",124.46,3817.19835,100.965,69.75
"1036","A11076/R12154","A11076","R12154","19CS",144.78,3625.78055,97.79,69.5
"1044","A11076/RTx2918","A11076","RTx2918","19CS",135.89,4055.0059,100.965,67.75
"1050","A11076/RTx2938","A11076","RTx2938","19CS",137.16,2431.93105,89.535,71.25
"1052","A11076/RTx2940","A11076","RTx2940","19CS",135.89,3985.42505,96.52,67.75
"1058","A11085/R02107","A11085","R02107","19CS",143.51,1828.20165,105.41,70.25
"1059","A11085/R03248","A11085","R03248","19CS",133.35,3085.1363,95.25,68.5
"1061","A11085/R04104","A11085","R04104","19CS",124.46,3435.3355,104.775,68
"1069","A11085/R07178","A11085","R07178","19CS",133.35,3111.0183,97.155,68
"1079","A11085/R12148","A11085","R12148","19CS",138.43,2962.05895,103.505,70.25
"1098","A11085/RTx2942","A11085","RTx2942","19CS",138.43,3238.68185,106.68,67.5
"1100","A11085/RTx2944","A11085","RTx2944","19CS",143.51,2422.42065,100.33,68
"1112","AHF14/R07161","AHF14","R07161","19CS",147.32,3388.92765,116.205,69.75
"1143","AHF14/RTx2943","AHF14","RTx2943","19CS",138.43,3264.2921,110.49,72
"1146","AKS116/R02107","AKS116","R02107","19CS",138.43,1866.84955,96.52,70.25
"1160","AKS116/R08303","AKS116","R08303","19CS",137.16,3044.9682,83.82,68
"1168","AKS116/R12154","AKS116","R12154","19CS",129.54,2809.28905,91.44,70
"1175","AKS116/RTx2917","AKS116","RTx2917","19CS",128.27,3106.931,94.615,68
"1178","AKS116/RTx2920","AKS116","RTx2920","19CS",111.76,2888.82775,85.09,68
"1180","AKS116/RTx2936","AKS116","RTx2936","19CS",152.4,2661.48425,90.17,69.75
"1184","AKS116/RTx2940","AKS116","RTx2940","19CS",129.54,3168.93355,90.17,68.25
"1186","AKS116/RTx2942","AKS116","RTx2942","19CS",123.19,3277.32975,97.79,67.5
"1188","AKS116/RTx2944","AKS116","RTx2944","19CS",134.62,2461.06855,91.44,68
"1189","AKS117/R01302","AKS117","R01302","19CS",120.65,2492.516,94.615,72.25
"1211","AKS117/R12148","AKS117","R12148","19CS",125.73,3272.27775,95.885,72.25
"1217","AKS117/RTx2914","AKS117","RTx2914","19CS",142.24,3023.01815,97.155,71.5
"1230","AKS117/RTx2942","AKS117","RTx2942","19CS",135.89,3548.90065,99.06,69.5
"1248","AKS118/R08303","AKS118","R08303","19CS",134.62,3427.09205,92.71,70.25
"1257","AKS118/R12156","AKS118","R12156","19CS",121.92,3577.83515,107.95,73.25
"1259","AKS118/RTx2912","AKS118","RTx2912","19CS",146.05,2036.2419,97.155,73.25
"1262","AKS118/RTx2916","AKS118","RTx2916","19CS",143.51,2790.717,100.33,73.25
"1264","AKS118/RTx2918","AKS118","RTx2918","19CS",128.27,3620.63825,103.505,70.5
"1267","AKS118/RTx2935","AKS118","RTx2935","19CS",139.7,3381.15875,100.33,70.5
"1275","AKS118/RTx2943","AKS118","RTx2943","19CS",146.05,3140.9213,108.585,73.25
"1277","AKS119/R01302","AKS119","R01302","19CS",149.86,2589.96775,106.045,71.75
"1283","AKS119/R05386","AKS119","R05386","19CS",130.81,3602.833,99.06,69.5
"1284","AKS119/R05393","AKS119","R05393","19CS",132.08,2217.82225,102.235,72.5
"1287","AKS119/R05512","AKS119","R05512","19CS",160.02,2764.98755,100.965,71
"1293","AKS119/R08304","AKS119","R08304","19CS",167.64,3725.15045,110.49,69.5
"1305","AKS119/RTx2914","AKS119","RTx2914","19CS",154.94,3120.4699,108.585,71
"1308","AKS119/RTx2918","AKS119","RTx2918","19CS",142.24,3607.53705,107.315,69.75
"1309","AKS119/RTx2919","AKS119","RTx2919","19CS",143.51,3188.3772,102.235,69.5
"1324","AKS120/R04060","AKS120","R04060","19CS",148.59,3607.933,111.76,70
"1330","AKS120/R05425","AKS120","R05425","19CS",167.64,2645.3481,93.345,68.5
"1332","AKS120/R07161","AKS120","R07161","19CS",171.45,3016.22935,114.935,69
"1336","AKS120/R08303","AKS120","R08303","19CS",149.86,3177.76455,93.345,68.25
"1338","AKS120/R08306","AKS120","R08306","19CS",154.94,3433.3428,100.965,68.25
"1341","AKS120/R12071","AKS120","R12071","19CS",149.86,3160.51925,100.965,69.75
"1352","AKS120/RTx2918","AKS120","R12148","19CS",158.75,3371.31075,104.14,68.5
"1355","AKS120/RTx2935","AKS120","RTx2935","19CS",162.56,3131.83125,100.965,68.5
"1362","AKS120/RTx2942","AKS120","RTx2942","19CS",162.56,3410.1261,107.315,67.75
"1378","AN263/R08224","AN263","R08224","19CS",143.51,1815.4765,105.41,73.25
"1384","AN263/R11208","AN263","R11208","19CS",114.3,2570.61665,86.36,71.25
"1387","AN263/R12148","AN263","R12148","19CS",139.7,2762.22025,99.06,73.25
"1399","AN263/RTx2935","AN263","RTx2935","19CS",123.19,2760.5483,95.885,71.25
"1400","AN263/RTx2936","AN263","RTx2936","19CS",129.54,2422.99765,94.615,72.75
"1402","AN263/RTx2938","AN263","RTx2938","19CS",123.19,1376.95295,87.63,74.75
"1427","AN268/R11158","AN268","R11158","19CS",124.46,3313.37415,93.98,66
"1431","AN268/R12148","AN268","R12148","19CS",121.92,3370.75465,93.98,68.25
"1432","AN268/R12154","AN268","R12154","19CS",115.57,3179.33685,90.805,68
"1454","AN290/R02107","AN290","R02107","19CS",135.89,2556.2734,96.52,71.75
"1455","AN290/R03248","AN290","R03248","19CS",139.7,3813.20805,86.36,70
"1459","AN290/R05386","AN290","R05386","19CS",116.84,3923.2342,86.36,69.5
"1464","AN290/R07161","AN290","R07161","19CS",144.78,3572.85685,105.41,70.25
"1476","AN290/R12154","AN290","R12154","19CS",128.27,3498.7129,91.44,71.5
"1483","AN290/RTx2917","AN290","RTx2917","19CS",116.84,3796.35485,94.615,69.5
"1486","AN290/RTx2920","AN290","RTx2920","19CS",124.46,3578.2516,85.09,69.5
